	Bacteroidia	Gammaproteobacteria	Alphaproteobacteria	Anaerolineae	Planctomycetes	Actinobacteria	Verrucomicrobiae	Clostridia	Thermoleophilia	Nitrospiria	Acidimicrobiia	Polyangia	Ignavibacteria	Gracilibacteria	Campylobacteria	Negativicutes	Bacilli	Saccharimonadia	Vicinamibacteria	midas_c_206	Blastocatellia	Methanobacteria	Kapabacteria	Holophagae	Bdellovibrionia	Oligoflexia	Desulfobulbia	OLB14	Leptospirae	Kryptonia	Elusimicrobia	Phycisphaerae	midas_c_41	Chloroflexia	Bacteria_unclassified	Acidobacteriae	Fusobacteriia	Myxococcia	Hydrogenedentia	Parcubacteria	OM190	Vampirivibrionia	midas_c_18	Coriobacteriia	Spirochaetia	Fimbriimonadia	Desulfovibrionia	Gemmatimonadetes	Kiritimatiellae	Synergistia	Desulfuromonadia	Lineage_IIb	Thermoanaerobaculia	Methanosarcinia	ABY1	Sericytochromatia	bacteriap25	Cyanobacteriia	Fibrobacteria	midas_c_814	Patescibacteria_unclassified	KD4-96	Desulfobacteria	Sumerlaeia	Babeliae	BD7-11	midas_c_216	midas_c_25190	Brocadiae	Syntrophobacteria	Chlamydiae	Microgenomatia	Chthonomonadetes	Omnitrophia	vadinHA49	Desulfitobacteriia	midas_c_13758	Methanomicrobia	Actinobacteriota_unclassified	Berkelbacteria	Aminicenantia	Firmicutes_unclassified	Deinococci	MVP-15	Archaea_unclassified	Thermoplasmata	Syntrophia	midas_c_35434	Desulfomonilia	midas_c_49974	Caldisericia	Syntrophorhabdia	WWE3	Desulfobacterota_unclassified	midas_c_796	Rhodothermia	midas_c_1477	Chlorobia	Abditibacteria	BRH-c20a	Endomicrobia	Armatimonadia	Verrucomicrobiota_unclassified	Thermodesulfovibrionia	Myxococcota_unclassified	midas_c_55	Chitinivibrionia	Bdellovibrionota_unclassified	Proteobacteria_unclassified	Desulfotomaculia	OC31	midas_c_4	Syntrophomonadia	Subgroup_22	Cloacimonadia	Lentisphaeria	midas_c_21477	Planctomycetota_unclassified	Bacteroidota_unclassified	Acidobacteriota_unclassified	Subgroup_21	Thermococci	Pla4_lineage	Dehalococcoidia	Chloroflexi_unclassified	Pla3_lineage	Limnochordia	4-29-1	midas_c_33170	midas_c_201
190703	0.26416723635447986	0.2807541467275952	0.06087863850609857	0.02243370632893172	0.025689921922786286	0.01297089195121074	0.04314035908322236	0.023099341560824608	0.014823876515669413	0.0248803655596733	0.009750656640161193	0.037131651854783565	0.02009498794660526	0.01228726657791531	0.028658295254200692	0.003975821249955024	0.005163170582520777	0.0017990141402511428	0.00748389882344475	0.0036699888461123307	0.004047781815565071	0.0020148958370812798	0.005001259309898174	0.009031050984060738	0.006890224157161872	0.0036340085633073094	0.0027884719173892707	0.002068866261288814	0.011369769366387221	0.0023207282409239737	0.00214082682689886	0.003094304321231966	0.001781023998848631	0.001349260605188357	0.0037959198359299126	0.001691073291836074	0.0007735760803079912	0.004227683229590185	0.003580038139099774	0.0010434282013456625	0.002356708523728997	0.0019789155542762568	0.001565142302018494	0.0008275465045155254	0.0017630338574461195	0.0012593098981757997	0.0025186197963516003	0.0011873493325657539	0.001115388766955708	0.0010614183427481742	0.0011513690497607313	0.000719605656100457	0.0008095563631130141	0.0001619112726226028	0.0008635267873205483	0.0011873493325657539	0.00026985212103767137	0.00041377325225776273	0.0005756845248803655	7.196056561004569e-05	8.995070701255712e-05	0.00017990141402511424	5.3970424207534266e-05	5.3970424207534266e-05	0.0003238225452452055	0.0005037239592703198	0.0002518619796351599	0.0003957831108552513	0.0	0.00019789155542762567	1.7990141402511423e-05	0.0	0.0	3.5980282805022846e-05	5.397042420753427e-05	1.7990141402511423e-05	1.7990141402511423e-05	0.0	1.7990141402511423e-05	1.7990141402511423e-05	3.5980282805022846e-05	3.5980282805022846e-05	3.5980282805022846e-05	1.7990141402511423e-05	0.0	5.3970424207534266e-05	1.7990141402511423e-05	0.0	3.5980282805022846e-05	1.7990141402511423e-05	0.0	1.7990141402511423e-05	0.0	1.7990141402511423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7990141402511423e-05	0.0	0.0	3.5980282805022846e-05	0.0	0.0	0.0	0.0	1.7990141402511423e-05	1.7990141402511423e-05	0.0	1.7990141402511423e-05	0.0	0.0	0.0	0.0	1.7990141402511423e-05	0.0	0.0	0.0	0.0	0.0	0.0
190802	0.29359280832295875	0.3004612639305262	0.06011582101612727	0.034443284737887554	0.027978855930776782	0.006817952257499741	0.038685566142554056	0.013888421265277215	0.009949159960944073	0.06030099996633106	0.011077068112184766	0.018248543820073442	0.016464092118110507	0.01163260496279586	0.01095922696205515	0.001313087101444396	0.0026261742028887932	0.0018686239520554866	0.003451062253796169	0.0020032995522036297	0.0037709168041480086	0.002020134002222148	0.004427460354870204	0.00597622975657385	0.002036968452240666	0.003181711053499883	0.0035857378539443114	0.0017844517019628974	0.003451062253796168	0.0025925053028517564	0.0018854584020740045	0.003703579004073937	0.0016666105518332727	0.0015151005016666114	0.002238981852462883	0.002457829702703613	0.00010100670011110737	0.002609339752870274	0.0024746641527221306	0.003888757954277634	0.0017676172519443796	0.0016834450018517898	0.0010774048011851453	0.0006565435507221978	0.002558836402814721	0.0013972593515369854	0.0007238813507962693	0.000622874650685162	0.0005050335005555369	0.00037035790040739375	0.0007407158008147874	0.0010100670011110736	6.733780007407158e-05	0.0007238813507962695	0.00047136460051850124	6.733780007407158e-05	0.0012120804013332886	0.00045453015049998316	0.00010100670011110737	0.0005723713006296084	0.00011784115012962524	0.00010100670011110737	0.00015151005016666105	0.00010100670011110735	0.00011784115012962527	8.417225009258947e-05	0.00010100670011110735	0.00020201340022221474	5.0503350055553684e-05	1.6834450018517895e-05	3.366890003703579e-05	5.0503350055553684e-05	1.6834450018517895e-05	5.0503350055553684e-05	3.366890003703579e-05	1.6834450018517895e-05	1.6834450018517895e-05	5.0503350055553684e-05	0.0	8.417225009258947e-05	0.0	6.733780007407158e-05	0.0	0.00011784115012962527	1.6834450018517895e-05	0.0	0.0	0.0	0.0	0.0	5.0503350055553684e-05	0.0	1.6834450018517895e-05	0.0	3.366890003703579e-05	3.366890003703579e-05	0.0	3.366890003703579e-05	1.6834450018517895e-05	0.0	1.6834450018517895e-05	3.366890003703579e-05	1.6834450018517895e-05	1.6834450018517895e-05	0.0	0.0	0.0	1.6834450018517895e-05	1.6834450018517895e-05	0.0	0.0	1.6834450018517895e-05	0.0	0.0	0.0	0.0	0.0	1.6834450018517895e-05	0.0	0.0	1.6834450018517895e-05	0.0	1.6834450018517895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190830	0.2744668570836605	0.2927143301120308	0.06570866199997046	0.031492800165751594	0.020393364017107927	0.015968388805848666	0.03784167764277577	0.034541445294579066	0.009708306818013646	0.02033416702431516	0.016012786550443227	0.023678797117106447	0.016427165499992596	0.016042385046839625	0.015006437672966213	0.005179736869367036	0.006171286498645868	0.0027822586612600082	0.007947196282428853	0.0029598496396383064	0.009145935386482368	0.0027822586612600082	0.0076216128220686396	0.005031744387385119	0.005090941380177886	0.002530671441890752	0.003226236107205754	0.0026638646756744753	0.0007547616581077681	0.002530671441890752	0.0038182060351334155	0.003078243625223839	0.0015243225644137278	0.0015243225644137278	0.002959849639638306	0.0011247428630625565	0.0	0.002427076704503411	0.0009027541400896834	0.0036110165603587333	0.001983099258557665	0.0026046676828817097	0.0016279173018010687	0.000695564665315002	0.001287534593242663	0.0014355270752245788	0.0002811857157656391	0.0010063488774770242	0.00023678797117106452	0.00020718947477468147	0.0011247428630625563	0.00183510677657575	0.00011839398558553226	0.0005031744387385121	0.0007399624099095766	8.87954891891492e-05	0.0019535007621612824	0.0006659661689186189	0.0004143789495493629	0.0006067691761258528	0.00014799248198191532	0.00011839398558553226	0.0006215684243240443	0.0003699812049547883	0.00016279173018010686	0.0	5.919699279276613e-05	0.0	0.0	0.0	1.4799248198191532e-05	2.9598496396383064e-05	0.00031078421216202215	0.0001775909783782984	0.0	0.0001775909783782984	0.00044397744594574596	1.4799248198191532e-05	0.0	0.0001923902265764899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4799248198191532e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190913	0.20319384980780558	0.3725637259497655	0.062345698303071705	0.043115930706167774	0.0348656728856109	0.018375574236694916	0.0435117764096794	0.014479619154765205	0.013969186537079282	0.03469900101044822	0.017615133806264793	0.02002145900392723	0.012854568371928289	0.010521162119649562	0.005802264654103775	0.0032501015656739305	0.0031563486358948765	0.003073012698313491	0.008677354500661474	0.003208433596883236	0.005906434576080506	0.003427190433034366	0.004416804691813286	0.002614665041615886	0.0030938466827088364	0.0036355302769878243	0.0031771826202902195	0.003166765628092547	0.0021146494161275874	0.002375074221069409	0.001791722657999729	0.0029896767607321107	0.0012917070325114324	0.002395908205464755	0.002093815431732244	0.001375042970092815	0.00017708886736043835	0.0018333906267904204	0.0018125566423950747	0.0013958769544881607	0.0027709199245809796	0.0021459003927206074	0.0018333906267904202	0.0010000312509765928	0.0008958613289998645	0.00106253320416263	0.001114618165150994	0.0012500390637207412	0.0006875214850464076	0.0009062783211975372	0.0005208496098836422	0.00019792285175578402	0.000593768555267352	0.0006458535162557164	0.0009583632821859013	4.166796879069138e-05	0.00032292675812785814	0.00044793066449993227	8.333593758138276e-05	0.00029167578153483964	0.00017708886736043835	0.00019792285175578405	6.250195318603706e-05	0.00013542089856974696	7.291894538370991e-05	0.00012500390637207412	0.00013542089856974699	3.125097659301853e-05	8.333593758138276e-05	3.125097659301853e-05	1.0416992197672845e-05	0.0	1.0416992197672845e-05	2.083398439534569e-05	2.083398439534569e-05	0.0	1.0416992197672845e-05	0.00012500390637207412	1.0416992197672845e-05	4.166796879069138e-05	2.083398439534569e-05	2.083398439534569e-05	2.083398439534569e-05	5.208496098836422e-05	2.083398439534569e-05	1.0416992197672845e-05	3.125097659301853e-05	2.083398439534569e-05	1.0416992197672845e-05	2.083398439534569e-05	1.0416992197672845e-05	2.083398439534569e-05	2.083398439534569e-05	0.0	1.0416992197672845e-05	0.0	0.0	0.0	5.208496098836423e-05	0.0	1.0416992197672845e-05	4.166796879069138e-05	0.0	0.0	0.0	2.083398439534569e-05	2.083398439534569e-05	0.0	1.0416992197672845e-05	1.0416992197672845e-05	0.0	0.0	1.0416992197672845e-05	0.0	0.0	0.0	1.0416992197672845e-05	0.0	0.0	2.083398439534569e-05	0.0	2.083398439534569e-05	0.0	0.0	1.0416992197672845e-05	0.0	1.0416992197672845e-05	0.0	0.0	0.0
191004	0.26201509098979503	0.3013759431868665	0.07604971149578317	0.03446959609409672	0.033990235241899674	0.01230359520639147	0.04164225477141587	0.016946293830448378	0.009400798934753658	0.024340878828229034	0.010199733688415445	0.022414558366622307	0.016316023080337333	0.02829116733244566	0.01358189081225033	0.0025299600532623185	0.0047936085219707015	0.004189968930315135	0.006844207723035951	0.003186861961828673	0.007456724367509989	0.0032223701731025306	0.0049622725255215275	0.0038615179760319585	0.0020683533067021756	0.0035153129161118535	0.0041011984021304924	0.0023169107856191753	0.005477141588992453	0.0029826897470039953	0.0011007545494895693	0.0023701731025299625	0.0017665335108743895	0.0016688859298712823	0.0015179760319573889	0.0010474922325787836	0.00031957390146471367	0.0027607634265423885	0.002112738570794497	0.0008610741233910339	0.0016511318242343539	0.002405681313803818	0.0017576564580559252	0.0010563692853972479	0.0010652463382157121	0.0011451398135818905	0.0009143364403018195	0.000985352862849534	0.0007634265423879271	0.0007101642254771415	0.0004704837993786062	0.00019529516200621395	0.0006569019085663559	5.326231691078562e-05	0.0006835330670217486	0.0018020417221482467	0.0002041722148246782	0.0003817132711939636	0.0005326231691078562	0.00016866400355082113	0.0004438526409232134	7.101642254771416e-05	0.00013315579227696407	9.764758100310698e-05	7.101642254771417e-05	0.00016866400355082113	0.00013315579227696404	0.00013315579227696404	6.213936972924988e-05	4.438526409232135e-05	0.0	3.550821127385708e-05	3.550821127385708e-05	0.0	5.326231691078562e-05	8.87705281846427e-06	0.0	2.663115845539281e-05	1.775410563692854e-05	5.326231691078562e-05	5.3262316910785624e-05	2.663115845539281e-05	4.438526409232135e-05	2.663115845539281e-05	3.550821127385708e-05	1.775410563692854e-05	1.775410563692854e-05	2.663115845539281e-05	8.87705281846427e-06	0.0	1.775410563692854e-05	1.775410563692854e-05	0.0	8.87705281846427e-06	1.775410563692854e-05	0.0	2.663115845539281e-05	1.775410563692854e-05	1.775410563692854e-05	0.0	0.0	8.87705281846427e-06	8.87705281846427e-06	0.0	2.663115845539281e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87705281846427e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191019	0.20611835691027988	0.33488346424824256	0.05328452383142343	0.05058405842423806	0.052920292121189906	0.01397693199168523	0.04076083957248768	0.011427310020051191	0.010930630415187364	0.03085668034068543	0.018270451242618807	0.014867276172255852	0.011419951803682788	0.02491492062324096	0.010356689538455883	0.0013907028936185873	0.002685748974448587	0.005253766487003552	0.008509777229999451	0.005746766983683155	0.006423722889571569	0.007012380199039753	0.009521531980647896	0.00556281157447435	0.005695259469104693	0.005698938577288867	0.00268574897444859	0.003693824616912856	0.005132355916925738	0.0016298449255900372	0.0011515608616471367	0.0028991372491308028	0.0020087930685601797	0.0026121668107650675	0.0013318371626717695	0.001769651036588731	0.00021706738286639323	0.002133882746822169	0.0023950994278986756	0.0018027630102463177	0.0033479884476002994	0.0021817111532164584	0.0018027630102463164	0.0006879932304409414	0.0008977023969389822	0.0006843141222567651	0.000540828903073895	0.0014348521918287008	0.0006953514468092935	0.0004562094148378435	0.0004598885230220195	0.0002317838156030978	0.0006953514468092934	0.0006475230404150034	0.0005518662276264235	0.000401022792075201	5.5186622762642334e-05	8.094038005187544e-05	0.0004414929821011387	0.00011773146189363696	0.0006695976895200605	9.933592097275618e-05	0.00014348521918287015	0.00016555986828792704	3.31119736575854e-05	0.0001582016519195747	0.00012876878644616543	0.00010301502915693236	0.00042677654936443407	4.0470190025937704e-05	2.2074649105056935e-05	1.4716432736704623e-05	4.047019002593772e-05	0.00024282114015562628	6.990305549934696e-05	0.0	3.679108184176156e-06	9.565681278858005e-05	1.4716432736704623e-05	3.679108184176156e-06	2.2074649105056935e-05	1.1037324552528468e-05	7.358216368352312e-06	2.9432865473409247e-05	7.726127186769927e-05	2.9432865473409247e-05	3.31119736575854e-05	5.150751457846618e-05	2.575375728923309e-05	0.0	1.1037324552528468e-05	4.0470190025937704e-05	3.679108184176156e-06	1.1037324552528468e-05	1.839554092088078e-05	1.4716432736704623e-05	2.2074649105056935e-05	7.358216368352312e-06	1.839554092088078e-05	3.679108184176156e-06	3.679108184176156e-06	7.358216368352312e-06	7.358216368352312e-06	0.0	1.839554092088078e-05	3.679108184176156e-06	0.0	0.0	7.358216368352312e-06	1.1037324552528468e-05	1.1037324552528468e-05	0.0	0.0	0.0	3.679108184176156e-06	1.4716432736704623e-05	3.679108184176156e-06	0.0	0.0	3.679108184176156e-06	7.358216368352312e-06	0.0	3.679108184176156e-06	0.0	3.679108184176156e-06	1.1037324552528468e-05	0.0	7.358216368352312e-06	3.679108184176156e-06	3.679108184176156e-06
191025	0.3430655533160599	0.2724061810154568	0.07474805643535834	0.03453306459353101	0.025242345714559924	0.013091467511277464	0.016661867741625862	0.022842883194164457	0.014703906324983203	0.031346578366445915	0.018926960360879142	0.007831845666570685	0.01838948075631058	0.011824551300508678	0.007851041366733853	0.001881178615990017	0.00762069296477589	0.008734043574239366	0.004280641136385449	0.00439581533736443	0.0029561378251271716	0.005739514348785873	0.005509165946827909	0.0014588732124004222	0.002898550724637682	0.0027641808234955398	0.003397638928879931	0.0017852001151742007	0.0013820904117477686	0.0022458969190901237	0.00055667530473174	0.002169114118437471	0.005355600345522603	0.0013436990114214413	0.001266916210768787	0.0020347442172953256	0.0006334581053843939	0.0008254151070160283	0.001785200115174201	0.0015548517132162386	0.0008830022075055187	0.0007678280065265377	0.0009021979076686821	0.0014012861119109318	0.0005182839044054132	0.0009789807083213358	0.0010941549093003162	0.0003647183031001056	0.0008254151070160282	0.0005374796045685765	0.00038391400326326906	0.000211152701794798	0.0005374796045685766	0.00026873980228428836	0.0006718495057107207	0.00024954410212112485	0.0	7.67828006526538e-05	3.83914003263269e-05	0.00017276130146847107	9.597850081581727e-05	1.919570016316345e-05	0.00011517420097898072	0.0	1.919570016316345e-05	5.7587100489490355e-05	5.7587100489490355e-05	5.7587100489490355e-05	3.83914003263269e-05	1.919570016316345e-05	3.83914003263269e-05	5.7587100489490355e-05	3.83914003263269e-05	0.0	3.83914003263269e-05	3.83914003263269e-05	0.0	7.67828006526538e-05	3.83914003263269e-05	0.0	7.67828006526538e-05	1.919570016316345e-05	0.0	1.919570016316345e-05	0.0	0.0	3.83914003263269e-05	0.0	0.0	0.0	0.0	1.919570016316345e-05	0.0	0.0	1.919570016316345e-05	1.919570016316345e-05	0.0	0.0	0.0	1.919570016316345e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.919570016316345e-05	1.919570016316345e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191108	0.39241120135773794	0.25055562290378636	0.07560512385339668	0.03438800662706599	0.024023113912797503	0.01646664242130358	0.014466399967672842	0.02236634743605279	0.019194245767163692	0.01573928152907423	0.01616357538287468	0.008506081545237803	0.016163575382874683	0.007152382106922053	0.003475168707318058	0.001272881561401381	0.006728088253121595	0.016224188790560472	0.003697417868832585	0.004727845799490847	0.0031721016688891577	0.005536024568634583	0.003515577645775246	0.001293086030629975	0.003252919545803531	0.002848830161231663	0.002202287145916676	0.0016163575382874694	0.0005253161999434274	0.00228310502283105	0.0007879742999151413	0.0018386066998019954	0.0036772133996039913	0.0014951307229159089	0.0007475653614579548	0.0015355396613730957	0.0007273608922293612	0.000666747484543581	0.0011920636844870085	0.0008687921768295149	0.0009294055845152948	0.00042429385380046074	0.0010506323998868547	0.0017173798844304358	0.00040408938457186735	0.001192063684487008	0.0008081787691437348	0.000444498323029054	0.0008687921768295149	0.0006465430153149879	0.00014143128460015355	0.00014143128460015352	0.00018184022305734027	0.0004040893845718673	0.00014143128460015355	0.0001616357538287469	0.0	2.0204469228593364e-05	4.040893845718673e-05	8.081787691437345e-05	4.040893845718673e-05	4.040893845718673e-05	0.0	0.00010102234614296681	0.00010102234614296681	8.081787691437345e-05	8.081787691437345e-05	6.06134076857801e-05	0.0	6.061340768578009e-05	6.06134076857801e-05	0.00012122681537156017	0.0	0.0	2.0204469228593364e-05	2.0204469228593364e-05	0.0	0.0	8.081787691437345e-05	0.0	0.0	6.061340768578009e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.0204469228593364e-05	0.0	2.0204469228593364e-05	0.0	6.06134076857801e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.0204469228593364e-05	2.0204469228593364e-05	0.0	0.0	0.0	0.0	0.0	2.0204469228593364e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
